"Indicator Code","Country or Area Code","Country or Area","Time Code","Year","Value","Value Footnotes"
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2011","2011","0.425262104940417",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2010","2010","0.30293638839023",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2009","2009","0.249073529591755",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2008","2008","0.158961557957085",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2007","2007","0.0881410538805383",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2006","2006","0.0658159680411251",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2005","2005","0.0548548300184902",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2004","2004","0.0407273663448916",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2003","2003","0.0461076124049689",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2002","2002","0.0416412114461905",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2001","2001","0.0314347557566158",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR2000","2000","0.0396443700468076",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1999","1999","0.0437225883240311",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1998","1998","0.0570508678938691",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1997","1997","0.0618143486821932",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1996","1996","0.0685918498095162",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1995","1995","0.0756464650933235",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1994","1994","0.0831835378107592",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1993","1993","0.0927611026464462",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1992","1992","0.103775745455101",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1991","1991","0.194971231586472",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1990","1990","0.221826763797517",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1989","1989","0.239131208213811",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1988","1988","0.252079156325973",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1987","1987","0.275560305000947",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1986","1986","0.274729697632186",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1985","1985","0.301734199171867",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1984","1984","0.237642948463422",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1983","1983","0.20546269900184",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1982","1982","0.165879121664236",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1981","1981","0.152639744037877",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1980","1980","0.133230270920323",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1979","1979","0.168673487924179",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1978","1978","0.163346970897513",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1977","1977","0.183118307595321",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1976","1976","0.154895026334307",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1975","1975","0.169027082193895",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1974","1974","0.155725122534084",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1973","1973","0.136339953523864",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1972","1972","0.130820142126379",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1971","1971","0.166114845751107",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1970","1970","0.150358548261921",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1969","1969","0.0868628168461064",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1968","1968","0.115547383485899",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1967","1967","0.123782381420828",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1966","1966","0.10767396986513",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1965","1965","0.101498607297291",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1964","1964","0.0863165425400968",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1963","1963","0.0742513682185121",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1962","1962","0.0737813379864149",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1961","1961","0.053614942588308",""
"EN.ATM.CO2E.PC","AFG","Afghanistan","YR1960","1960","0.0460678750472635",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2011","2011","1.60703771025689",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2010","2010","1.51563205345928",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2009","2009","1.53317809380571",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2008","2008","1.58011328280597",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2007","2007","1.50753581545156",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2006","2006","1.29154796900433",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2005","2005","1.41249821101668",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2004","2004","1.37621273504355",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2003","2003","1.4126971959616",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2002","2002","1.22954070946998",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2001","2001","1.05330417594038",""
"EN.ATM.CO2E.PC","ALB","Albania","YR2000","2000","0.978174680894664",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1999","1999","0.960164411868586",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1998","1998","0.560271437384331",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1997","1997","0.490365059535664",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1996","1996","0.636625312930768",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1995","1995","0.654537133005248",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1994","1994","0.60134695292586",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1993","1993","0.72606278896175",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1992","1992","0.735198129742205",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1991","1991","1.21567685709825",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1990","1990","2.27838682724882",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1989","1989","2.78324307461439",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1988","1988","2.33159853051997",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1987","1987","2.41406081518223",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1986","1986","2.66535622064854",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1985","1985","2.65801538201043",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1984","1984","2.69429137362284",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1983","1983","2.6832399189862",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1982","1982","2.62485678513424",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1981","1981","2.69302391440235",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1980","1980","1.93505831031996",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1979","1979","2.89820851758249",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1978","1978","2.53062504042839",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1977","1977","2.27587639136105",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1976","1976","2.01358456245734",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1975","1975","1.91063363704144",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1974","1974","1.84900669071079",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1973","1973","2.30389741687392",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1972","1972","2.51591439803203",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1971","1971","1.98949792330655",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1970","1970","1.75323990542637",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1969","1969","1.5589675720987",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1968","1968","1.51955127697956",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1967","1967","1.36374630010816",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1966","1966","1.33305546458662",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1965","1965","1.16609904273455",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1964","1964","1.11174195966673",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1963","1963","1.18168114415975",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1962","1962","1.43995596379167",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1961","1961","1.37418604651163",""
"EN.ATM.CO2E.PC","ALB","Albania","YR1960","1960","1.25819492789657",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2011","2011","3.3160378920663",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2010","2010","3.30991183050336",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2009","2009","3.4284716394284",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2008","2008","3.20518284146426",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2007","2007","3.18997803716546",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2006","2006","2.99026715435638",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2005","2005","3.22015455926011",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2004","2004","2.72701713810354",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2003","2003","2.85641005188288",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2002","2002","2.84002791213498",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2001","2001","2.66832779788239",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR2000","2000","2.81977800680087",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1999","1999","2.99411874278661",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1998","1998","3.52969939558715",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1997","1997","2.95087834912248",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1996","1996","3.30246252197967",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1995","1995","3.29866722252398",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1994","1994","3.04988425540287",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1993","1993","2.96173908155182",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1992","1992","3.01444708220152",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1991","1991","3.05865540982343",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1990","1990","3.04583715326012",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1989","1989","3.16921314716626",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1988","1988","3.41372648663503",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1987","1987","3.51707376850858",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1986","1986","3.28197414806313",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1985","1985","3.22549764006837",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1984","1984","3.24762923225451",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1983","1983","2.47900899968947",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1982","1982","1.9085572345749",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1981","1981","2.32850297791274",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1980","1980","3.43987655630397",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1979","1979","2.43173222024416",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1978","1978","3.43337072009069",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1977","1977","2.36808209569782",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1976","1976","2.27867110143223",""
"EN.ATM.CO2E.PC","DZA","Algeria","YR1975","1975","1.91699426264661",""
